"ActionKey","Feature","Kind","Context","AdminGrantable","Status","Gate","Risk","DatabaseRisk","Requires","Screens","Guard","CurrentScope"
"tasks.task.revert","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX12-S01;FX12-S05","Parent active; state graph FX-12; revert bắt buộc reason; Completed ↔ Skipped phải qua active state, không đi tắt; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.reorder","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX12-S01","Parent active; giữ status, rank trong cùng Project/cột; đổi cột phải thêm transition action; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.criteria","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX12-S03","Parent active; lưu full version; không ngầm complete Task khi tick đủ; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.set_reminder","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX12-S03","Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng; exact time hoặc Start−15min; revision invalidates old schedule; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.remove_reminder","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX12-S03","Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng; exact time hoặc Start−15min; revision invalidates old schedule; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.trash","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX12-S02;FX12-S04","Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng; preview aggregate, không purge; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.restore","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX12-S04","Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng; đúng deletion cohort, parent hợp lệ; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.purge","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX12-S04","Task ở Trash; individually deleted Task có thể purge dù Project đã terminal; nếu thuộc Project deletion cohort phải qua Project aggregate purge; preview pins/dependencies, xác nhận irreversible; không yêu cầu mở lại Project; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.history","FX-12","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Sensitive","Sensitive","","FX12-S06","Owner-only history, cùng owner/module; không share/support; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.restore_version","FX-12","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX12-S06","Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng; editable hiện tại, giữ immutable identity/topology, tái kiểm tra quyền trên field diff; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"tasks.task.share","FX-12","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","sharing.link.read","FX12-S04","Source eligible, SharingEnabled, projection chính xác; kết hợp sharing.link.*; không history/reason/secret; Cùng owner; ProjectId bất biến; Project terminal cho xem chỉ-đọc, không tiếp tục Task; mutation cần parent active trừ Trash purge theo provider/cohort riêng","true"
"calendar.calendar.read","FX-13","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX13-S01;FX13-S02;FX13-S03;FX13-S04","Từng loại source phải được phép; không render dữ liệu module disabled; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.read","FX-13","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX13-S05","Title/Description/Start/End required; create Scheduled; update Scheduled only; all-day dates giữ semantics; trùng giờ warn, vẫn cho save; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.create","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX13-S05","Title/Description/Start/End required; create Scheduled; update Scheduled only; all-day dates giữ semantics; trùng giờ warn, vẫn cho save; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.update","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","calendar.event.read","FX13-S05","Title/Description/Start/End required; create Scheduled; update Scheduled only; all-day dates giữ semantics; trùng giờ warn, vẫn cho save; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.complete","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX13-S05","Chỉ Scheduled; terminal chỉ-đọc, không reopen/Trash; cancel là hành vi của nút hủy Event; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.cancel","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX13-S05","Chỉ Scheduled; terminal chỉ-đọc, không reopen/Trash; cancel là hành vi của nút hủy Event; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.set_reminder","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX13-S05","Scheduled only; exact time hoặc Start−15min; không VALARM import; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.event.remove_reminder","FX-13","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX13-S05","Scheduled only; exact time hoặc Start−15min; không VALARM import; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.projection.open","FX-13","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","tasks.task.read","FX13-S06","Kèm tasks.task.read; không Calendar permission nào cho sửa Task; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.ics.preview","FX-13","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","calendar.event.create","FX13-S07","Nonrecurring valid events only; UID dedupe; Scheduled; ignore VALARM; báo skipped/invalid; import không cập nhật Task; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.ics.import","FX-13","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","calendar.event.create","FX13-S07","Nonrecurring valid events only; UID dedupe; Scheduled; ignore VALARM; báo skipped/invalid; import không cập nhật Task; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"calendar.ics.export","FX-13","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX13-S07","Chỉ fully-contained events; source read tại request/worker/download; Tasks projection là ngoại lệ ICS đã duyệt, không Tasks importer/exporter chung; Own Calendar; Task projections luôn cần source Tasks access; không sửa Task qua Calendar","true"
"reminders.configuration.read","FX-14","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX14-S01;FX14-S03","Kèm source read; không đọc reminder config từ shared projection; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"reminders.configuration.set","FX-14","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX14-S01;FX14-S02","Delegate source set_reminder/remove_reminder; không quyền tạo reminder bất kỳ resource; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"reminders.configuration.remove","FX-14","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX14-S01","Delegate source set_reminder/remove_reminder; không quyền tạo reminder bất kỳ resource; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"reminders.schedule.reconcile","FX-14","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted scheduler; đúng owner/source/version; kiểm tra enabled/currentstate; idempotent occurrence; không làm Task tự đổi status; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"reminders.schedule.invalidate","FX-14","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted scheduler; đúng owner/source/version; kiểm tra enabled/currentstate; idempotent occurrence; không làm Task tự đổi status; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"reminders.schedule.dispatch","FX-14","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted scheduler; đúng owner/source/version; kiểm tra enabled/currentstate; idempotent occurrence; không làm Task tự đổi status; Một reminder/source; current source version/state; luôn tạo delivery intents cả ba kênh","true"
"planner.plan.read","FX-15","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S01;FX15-S02","Own plan + tasks.task.read trên từng Task; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"planner.plan.pin","FX-15","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S01;FX15-S03","Own planning metadata; source access hiện tại; không pin mới Task trong Project terminal; thay lịch Task cần action Tasks riêng; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"planner.plan.unpin","FX-15","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S01","Own planning metadata; source access hiện tại; không pin mới Task trong Project terminal; thay lịch Task cần action Tasks riêng; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"planner.plan.reorder","FX-15","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S01","Own planning metadata; source access hiện tại; không pin mới Task trong Project terminal; thay lịch Task cần action Tasks riêng; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"planner.plan.reschedule","FX-15","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S02","Own planning metadata; source access hiện tại; không pin mới Task trong Project terminal; thay lịch Task cần action Tasks riêng; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"planner.plan.notes","FX-15","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX15-S01","Own planning metadata; source access hiện tại; không pin mới Task trong Project terminal; thay lịch Task cần action Tasks riêng; Lens trên Task đã có; không tạo bản sao, không thay Start/End hay status","true"
"goals.goal.read","FX-16","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.create","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S01;FX16-S02","Own Goal; explicit status; progress calculation không tự complete Goal; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.update","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","goals.goal.read","FX16-S02","Own Goal; explicit status; progress calculation không tự complete Goal; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.start","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S03","Theo Goal graph FX-16, không áp Project terminal lock sang Goal; giữ lịch sử tiến độ; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.complete","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S03","Theo Goal graph FX-16, không áp Project terminal lock sang Goal; giữ lịch sử tiến độ; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.abandon","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S03","Theo Goal graph FX-16, không áp Project terminal lock sang Goal; giữ lịch sử tiến độ; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.reopen","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S03","Theo Goal graph FX-16, không áp Project terminal lock sang Goal; giữ lịch sử tiến độ; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.read","FX-16","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Own editable Goal; target type immutable; numeric/boolean/Task-based constraints FX-16; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.create","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Own editable Goal; target type immutable; numeric/boolean/Task-based constraints FX-16; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.update","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","goals.target.read","FX16-S03","Own editable Goal; target type immutable; numeric/boolean/Task-based constraints FX-16; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.remove","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Preview tác động mẫu số/progress; giữ audit lịch sử; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.link_task","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Cùng owner; tasks.task.read; không sửa Task; denominator theo FX-16; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.target.unlink_task","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Cùng owner; tasks.task.read; không sửa Task; denominator theo FX-16; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.progress.read","FX-16","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX16-S03","Own Goal; explicit status; progress calculation không tự complete Goal; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.archive","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; ngoài Trash, chưa Archived; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.unarchive","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; Archived, khôi phục previous state; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.trash","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; preview aggregate, không purge; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.restore","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; đúng deletion cohort, parent hợp lệ; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"goals.goal.purge","FX-16","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX16-S01","Own Goal; explicit status; progress calculation không tự complete Goal; chỉ Trash, preview pins/dependencies, xác nhận không thể hoàn tác; Own Goal; explicit status; progress calculation không tự complete Goal","true"
"habits.habit.read","FX-17","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S01;FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.create","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S03","Own habit; history past check-ins không bị viết lại bởi đổi schedule; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.update","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","habits.habit.read","FX17-S03","Own habit; history past check-ins không bị viết lại bởi đổi schedule; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.schedule","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S03","Theo FX-17; lịch mới không rewrite quá khứ; pause không làm mất streak lịch sử; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.pause","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S02","Theo FX-17; lịch mới không rewrite quá khứ; pause không làm mất streak lịch sử; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.resume","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S02","Theo FX-17; lịch mới không rewrite quá khứ; pause không làm mất streak lịch sử; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.set_reminder","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S03","Theo FX-17; lịch mới không rewrite quá khứ; pause không làm mất streak lịch sử; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.checkin.record","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S01","Own habit/day; không future day; boolean/count validation; ghi correction; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.checkin.correct","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S01;FX17-S04","Own habit/day; không future day; boolean/count validation; ghi correction; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.streak.read","FX-17","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX17-S04","Own habit; history past check-ins không bị viết lại bởi đổi schedule; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.archive","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; ngoài Trash, chưa Archived; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.unarchive","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; Archived, khôi phục previous state; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.trash","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; preview aggregate, không purge; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.restore","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; đúng deletion cohort, parent hợp lệ; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"habits.habit.purge","FX-17","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX17-S02","Own habit; history past check-ins không bị viết lại bởi đổi schedule; chỉ Trash, preview pins/dependencies, xác nhận không thể hoàn tác; Own habit; history past check-ins không bị viết lại bởi đổi schedule","true"
"time.timer.read","FX-18","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S01","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.timer.start","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S01","Một owner timer; source Task/Project eligibility hiện tại; Resume không kéo dài entry cũ; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.timer.stop","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S01","Một owner timer; source Task/Project eligibility hiện tại; Resume không kéo dài entry cũ; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.timer.resume","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S01","Một owner timer; source Task/Project eligibility hiện tại; Resume không kéo dài entry cũ; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.read","FX-18","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S02","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.create","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S03","Start/end/duration hợp lệ, cùng owner; source link không grant Task edit; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.update","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S03","Không đổi timer đang chạy qua edit; lưu correction lịch sử; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.trash","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX18-S02","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; preview aggregate, không purge; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.restore","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX18-S02","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; đúng deletion cohort, parent hợp lệ; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.purge","FX-18","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX18-S02","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; chỉ Trash, preview pins/dependencies, xác nhận không thể hoàn tác; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.entry.history","FX-18","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Sensitive","Sensitive","","FX18-S04","Owner-only history, cùng owner/module; không share/support; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"time.report.read","FX-18","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX18-S04","Owner scope; tối đa một timer đang chạy; không billable/team/payroll; Owner scope; tối đa một timer đang chạy; không billable/team/payroll","true"
"focus.session.read","FX-19","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S02;FX19-S04","Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.start","FX-19","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S01;FX19-S03","Theo state machine; phase kế tiếp cần explicit start; không giả elapsed từ client; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.pause","FX-19","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S02","Theo state machine; phase kế tiếp cần explicit start; không giả elapsed từ client; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.resume","FX-19","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S02","Theo state machine; phase kế tiếp cần explicit start; không giả elapsed từ client; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.cancel","FX-19","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S02","Theo state machine; phase kế tiếp cần explicit start; không giả elapsed từ client; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.preference.update","FX-19","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX19-S01","Defaults25/5/15 theo FX-19; không rewrite completed sessions; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.finish_phase","FX-19","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted clock validation; user polling không được submit elapsed giả; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
"focus.session.record_time","FX-19","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","time.entry.create","FX19-S03","Work only; source session immutable; dedupe session→entry; target module/action còn enabled; Own focus session; elapsed từ clock/state hợp lệ; không tự tạo Calendar","true"
